SN,day,time,datetime,A_Indep_Front,A_RollSpeed_Front,A_R2R2W_Front,A_R2R2W_RollSpeed_Front,KM_Front,KM_DEV_Front,A_Indep_Rear,A_RollSpeed_Rear,A_R2R2W_Rear,A_R2R2W_RollSpeed_Rear,KM_Rear,KM_DEV_Rear
DRW411710311,20171009,134427,20171009134427,0.376397,0.000581,79.733000,0.0,0.041757999999999997,0.028332999999999997,0.369229,0.000826,87.02668,0.0,0.041963,0.030789999999999998
DRW411710321,20171009,144025,20171009144025,0.458233,0.000672,88.524755,0.0,0.041723,0.026189999999999998,0.40018200000000004,0.00073,97.91255600000001,0.0,0.041418,0.021149
DRW411710331,20171009,152254,20171009152254,0.372858,0.000504,68.762589,0.0,0.041681,0.05160599999999999,0.31250300000000003,0.0006230000000000001,94.57451400000001,0.0,0.041032,0.031327999999999995
DRW411710341,20171009,165500,20171009165500,0.360341,0.000991,110.594089,0.0,0.041157,0.021426,0.339994,0.000822,84.72923399999999,0.0,0.041643,0.024751
DRW411710351,20171010,82855,20171010082855,0.311435,0.000731,91.042320,0.0,0.041471,0.04742,0.346378,0.000759,84.804154,0.0,0.041181,0.016257
DRW411710361,20171010,104854,20171010104854,0.316022,0.000822,98.062286,0.0,0.041351,0.024807,0.35518299999999997,0.000584,92.68902,0.0,0.041539,0.014324000000000002
DRW411710371,20171010,131056,20171010131056,0.362742,0.000966,108.969269,0.0,0.041513,0.008065000000000001,0.315519,0.000749,78.629085,0.0,0.04133,0.024978999999999998
DRW411710301,20171010,143633,20171010143633,0.330586,0.000829,88.695922,0.0,0.041799,0.025954,0.393568,0.0010220000000000001,115.290974,0.0,0.041696,0.04686
DRW411710411,20171011,82604,20171011082604,0.292161,0.000797,109.900911,0.0,0.04165,0.028475999999999998,0.317261,0.000849,97.707465,0.0,0.041786000000000004,0.054558
DRW411710401,20171011,101024,20171011101024,0.423026,0.000504,78.512506,0.0,0.041188999999999996,0.045464,0.424911,0.000878,93.12362399999999,0.0,0.041563,0.030255
DRW411710421,20171011,104452,20171011104452,0.358184,0.000722,91.042541,0.0,0.041559,0.005542,0.357782,0.000705,101.435136,0.0,0.041437,0.036114999999999994
DRW411710021,20171011,143433,20171011143433,0.380333,0.000635,74.492114,0.0,0.042292,0.032519,0.41971400000000003,0.000696,92.14833399999999,0.0,0.041774,0.038528
DRW411710041,20171011,161058,20171011161058,0.341888,0.000708,67.620331,0.0,0.041723,0.017629,0.333667,0.000906,113.192653,0.0,0.041274,0.048447000000000004
DRW411710061,20171012,135302,20171012135302,0.379509,0.000735,79.757310,0.0,0.042059,0.005343,0.366419,0.000791,96.01369100000001,0.0,0.041814,0.033411
