SN,day,time,datetime,TR_PWM_SLOP_FRONT,TR_PWM_OFFSET_FRONT,R2_Front,TR_AccuENC_RATIO_FRONT,TR_PWM_SLOP_REAR,TR_PWM_OFFSET_REAR,R2_Rear,TR_AccuENC_RATIO_REAR
DRW491710171,20171207,113949,20171207113949,1.358817,-38.306229,0.999981,9.07625,1.368313,-40.887079,0.9999979999999999,9.175984
DRW491710181,20171207,135004,20171207135004,1.363551,-36.828224,0.999999,9.074900999999999,1.3700430000000001,-40.515227,0.9999809999999999,9.175738
DRW491710201,20171207,150735,20171207150735,1.354770,-37.391107,0.999983,9.075503,1.365766,-42.510338,0.9999889999999999,9.176109
DRW491710211,20171207,164254,20171207164254,1.372605,-39.614997,0.999992,9.075368,1.37275,-40.481367999999996,1.0,9.175873
DRW491710221,20171208,82113,20171208082113,1.375791,-30.215883,0.999984,9.07414,1.369604,-43.785701,1.0,9.171814999999999
DRW491710231,20171208,100034,20171208100034,1.359070,-40.361508,0.999995,9.075514,1.361169,-41.731862,0.9999819999999999,9.176402000000001
DRW491710241,20171208,105502,20171208105502,1.354207,-35.858743,1.000000,9.07513,1.363047,-40.912196,0.9999709999999999,9.175471
DRW491710251,20171208,115903,20171208115903,1.363575,-40.789426,0.999987,9.07653,1.3719299999999999,-46.755653,0.9999950000000001,9.177992999999999
DRW491710271,20171208,155006,20171208155006,1.358253,-57.836344,0.999999,9.075069000000001,1.358899,-44.552735,0.99997,9.175722
DRW491710281,20171208,163446,20171208163446,1.353074,-40.216098,0.999995,9.076138,1.355265,-43.379833000000005,0.999972,9.174703
DRW501710121,20171209,82106,20171209082106,1.356572,-34.812491,0.999996,9.0767,1.348751,-42.546586,1.0,9.179716
DRW501710131,20171209,91151,20171209091151,1.322986,-37.012532,0.999970,9.076441,1.34075,-37.923679,0.9999979999999999,9.179501
DRW501710141,20171209,102010,20171209102010,1.352343,-37.806246,0.999999,9.075196,1.347872,-39.292452000000004,0.9999540000000001,9.174424
DRW501710151,20171209,110816,20171209110816,1.352548,-35.794897,0.999955,9.074932,1.361084,-37.222947999999995,0.999984,9.173914
DRW471710011,20171212,84157,20171212084157,1.342163,-26.690995,0.999960,9.07565,1.356854,-42.847506,0.9999879999999999,9.178148
DRW501710021,20171212,113821,20171212113821,1.346862,-35.933066,1.000000,9.075811999999999,1.367443,-42.018301,1.0,9.17399
DRW481710151,20171212,134059,20171212134059,1.362442,-20.960831,0.999986,9.075733999999999,1.364393,-42.12754,0.9999899999999999,9.175708
DRW501710041,20171212,144656,20171212144656,1.353762,-33.682917,0.999996,9.07515,1.342808,-43.869432,0.9999889999999999,9.178174
DRW501710051,20171212,151544,20171212151544,1.333317,-35.744565,1.000000,9.076078,1.356222,-39.773531,0.9999809999999999,9.176889
DRW501710061,20171212,155732,20171212155732,1.331617,-38.256231,0.999987,9.076319,1.349415,-40.614302,1.0,9.174928999999999
DRW501710071,20171212,163439,20171212163439,1.345460,-35.545172,0.999998,9.075896,1.351633,-40.29166,0.999999,9.177364
DRW501710081,20171213,80130,20171213080130,1.334730,-35.111270,0.999999,9.076441,1.353917,-39.840135,0.9999979999999999,9.178321
DRW501710091,20171213,85943,20171213085943,1.349447,-31.694361,0.999998,9.075772,1.371843,-46.081558,1.0,9.178668
DRW501710101,20171213,104618,20171213104618,1.347357,-34.070558,0.999990,9.075462,1.3642290000000001,-49.867785999999995,0.9999870000000001,9.179007
DRW501710111,20171213,145220,20171213145220,1.353607,-35.956843,1.000000,9.07558,1.356136,-43.520649,0.9999870000000001,9.175448
DRW491710261,20171213,164423,20171213164423,1.353407,-37.438462,0.999998,9.075607000000002,1.3744100000000001,-39.44818,0.999999,9.179139
DRW501710161,20171214,114501,20171214114501,1.362446,-34.373788,0.999999,9.076025,1.371573,-37.814562,1.0,9.177935
DRW501710181,20171214,140039,20171214140039,1.368904,-37.524689,0.999997,9.074892,1.353724,-40.376486,0.9999889999999999,9.176654
DRW491710191,20171214,150209,20171214150209,1.357524,-34.118720,1.000000,9.074862,1.369418,-38.668752000000005,0.999991,9.177963
DRW501710201,20171214,153036,20171214153036,1.358818,-40.785804,0.999997,9.075738000000001,1.362169,-42.395026,1.0,9.17232
DRW501710191,20171214,155016,20171214155016,1.354011,-36.693162,0.999994,9.075207,1.372331,-42.987457,0.9999950000000001,9.177114999999999
DRW501710221,20171214,164637,20171214164637,1.368604,-30.811075,0.999999,9.073431,1.352324,-43.990860999999995,0.9999709999999999,9.175704
DRW501710231,20171215,82804,20171215082804,1.366431,-29.279190,0.999992,9.072397,1.355551,-39.502679,0.999999,9.176394
DRW501710241,20171215,101043,20171215101043,1.354407,-39.980076,0.999993,9.076055,1.368801,-43.705977000000004,0.9999979999999999,9.177296
DRW501710251,20171215,105423,20171215105423,1.353905,-36.521888,0.999937,9.076476,1.368865,-38.535166,1.0,9.177823
DRW501710271,20171215,122136,20171215122136,1.361607,-35.854157,0.999998,9.076432,1.370635,-42.037124,0.9999620000000001,9.177116999999999
DRW501710261,20171215,161922,20171215161922,1.345044,-37.803720,0.999980,9.076885,1.366158,-52.823108,0.999985,9.179416
DRW501710281,20171218,80850,20171218080850,1.345445,-34.969134,0.999977,9.075171000000001,1.3597780000000002,-42.778951,0.9999879999999999,9.176478
DRW511710011,20171218,105826,20171218105826,1.366967,-37.713673,1.000000,9.0751,1.36501,-40.739565999999996,0.9999870000000001,9.178072
DRW501710011,20171218,115321,20171218115321,1.336112,-29.626587,0.999995,9.075356,1.365016,-42.485122,0.9999879999999999,9.176482
DRW511710041,20171219,84032,20171219084032,1.336734,-39.159636,0.999998,9.075761,1.365176,-40.617172,0.9999969999999999,9.178377000000001
DRW511710021,20171219,100931,20171219100931,1.361890,-34.253682,0.999992,9.075507,1.3664290000000001,-42.428937,0.999986,9.17837
DRW511710051,20171219,102955,20171219102955,1.344377,-38.090857,1.000000,9.075178999999999,1.371608,-40.644382,0.999985,9.178096
DRW511710061,20171219,105255,20171219105255,1.374051,-29.360601,0.999988,9.075593,1.381644,-41.967721000000004,0.9999959999999999,9.177572
DRW511710071,20171219,111410,20171219111410,1.365987,-32.654839,0.999996,9.072299000000001,1.369549,-41.999724,0.9999950000000001,9.180261
DRW511710081,20171219,121328,20171219121328,1.356867,-34.394999,0.999999,9.07646,1.356203,-41.50909,0.9999959999999999,9.176393
DRW511710091,20171219,132601,20171219132601,1.351307,-32.211819,1.000000,9.075222,1.3640139999999998,-41.863608,0.9999809999999999,9.176014
DRW511710101,20171219,145340,20171219145340,1.358552,-33.606432,0.999998,9.076019,1.3698059999999999,-43.900678000000006,0.9999969999999999,9.179963
DRW511710111,20171219,151758,20171219151758,1.355359,-35.645151,0.999996,9.075814,1.363378,-41.206916,0.9999969999999999,9.17752
DRW501710031,20171219,154234,20171219154234,1.337649,-28.830772,1.000000,9.076652000000001,1.356299,-49.482949,0.999973,9.179962
DRW511710121,20171219,160658,20171219160658,1.365127,-33.373866,0.999997,9.075805,1.351933,-40.137151,0.999973,9.177056
DRW511710131,20171220,80308,20171220080308,1.365230,-32.459933,0.999999,9.076348,1.364802,-43.635852,0.99997,9.179812
DRW511710141,20171220,85533,20171220085533,1.359101,-36.038626,0.999963,9.076402,1.343283,-40.158967,0.999999,9.177318
DRW501710171,20171220,102009,20171220102009,1.350570,-38.256223,0.999993,9.075561,1.361791,-36.2445,0.9999959999999999,9.178002000000001
DRW511710151,20171220,103743,20171220103743,1.355678,-38.446697,0.999998,9.075277,1.37114,-39.359662,0.9999959999999999,9.179148
DRW511710161,20171220,110004,20171220110004,1.343086,-35.264145,0.999997,9.076657,1.361237,-36.914242,0.9999889999999999,9.162633
DRW511710171,20171220,115947,20171220115947,1.359320,-39.961123,0.999995,9.076203999999999,1.356638,-36.111898,0.9999969999999999,9.168989
DRW501710291,20171220,131047,20171220131047,1.367227,-34.728090,0.999999,9.075088000000001,1.365186,-43.576283000000004,0.999986,9.177019999999999
DRW511710181,20171220,135843,20171220135843,1.334157,-34.526409,0.999995,9.074316,1.3672799999999998,-40.479026,0.9999979999999999,9.178946
DRW491710161,20171220,142057,20171220142057,1.372706,-58.673822,1.000000,9.075637,1.365638,-42.783907,0.9999969999999999,9.178252
DRW511710201,20171220,151814,20171220151814,1.342915,-38.996253,0.999994,9.076314,1.3677489999999999,-42.27603,0.9999870000000001,9.181056
DRW511710211,20171221,81304,20171221081304,1.351652,-33.109323,1.000000,9.076455000000001,1.370347,-41.221564,0.9999950000000001,9.179338000000001
DRW511710221,20171221,84509,20171221084509,1.340435,-39.308646,0.999989,9.076488000000001,1.3651,-43.080599,0.999994,9.178338
DRW511710191,20171221,95049,20171221095049,1.335512,-35.827971,0.999993,9.076502,1.373365,-45.101855,0.999983,9.178908999999999
DRW511710031,20171221,101645,20171221101645,1.348908,-34.901028,0.999996,9.076141999999999,1.375889,-41.654168,0.999992,9.178927999999999
DRW501710211,20171221,110130,20171221110130,1.350200,-30.114948,0.999996,9.075448,1.3655620000000002,-40.064974,0.9999399999999999,9.175312
DRW511710231,20171221,113219,20171221113219,1.347031,-34.595376,0.999994,9.075552,1.373629,-40.349986,0.999999,9.178605000000001
DRW381700081,20171221,133302,20171221133302,1.312731,-40.485645,0.999917,9.076018,1.330643,-43.343742,0.999975,9.176655
DRW511710241,20171221,140537,20171221140537,1.356515,-34.015640,0.999998,9.075111999999999,1.3829420000000001,-42.400537,1.0,9.179302999999999
DRW511710251,20171221,150133,20171221150133,1.354155,-33.326555,0.999976,9.075069000000001,1.3694959999999998,-39.754649,0.9999950000000001,9.179413
DRW511710261,20171221,155706,20171221155706,1.361962,-32.693426,0.999999,9.076007,1.3745040000000002,-42.688512,0.999965,9.173618
DRW511710271,20171221,163601,20171221163601,1.349280,-35.929457,1.000000,9.076396,1.360603,-42.194041,1.0,9.177507
DRW511710281,20171222,81317,20171222081317,1.332398,-33.355750,0.999991,9.073048,1.352994,-42.710552,0.9999959999999999,9.176891
DRW511710291,20171222,84642,20171222084642,1.355958,-33.390140,0.999986,9.075391999999999,1.364531,-43.847094,1.0,9.174766
DRW511710301,20171222,91247,20171222091247,1.363546,-33.032486,1.000000,9.075992999999999,1.371276,-40.962675,0.999993,9.173113
DRW511710311,20171222,103942,20171222103942,1.352496,-34.174066,1.000000,9.071221000000001,1.3433469999999998,-42.66532,0.9999979999999999,9.177244
